id,kanji,yomi,flag_1年生,flag_2年生,flag_3年生,flag_4年生,flag_5年生,flag_6年生,flag_BLEACH,flag_四字熟語,flag_難読,flag_地名,flag_ファントムシータ,note
1,一,いち|ひとつ,1,,,,,,,,,,,教育漢字
2,右,みぎ,1,,,,,,,,,,,教育漢字
3,雨,あめ,1,,,,,,,,,,,教育漢字
4,円,えん,1,,,,,,,,,,,教育漢字
5,王,おう,1,,,,,,,,,,,教育漢字
6,音,おと|おん,1,,,,,,,,,,,教育漢字
7,下,した|しも|か,1,,,,,,,,,,,教育漢字
8,火,ひ|か,1,,,,,,,,,,,教育漢字
9,花,はな,1,,,,,,,,,,,教育漢字
10,貝,かい,1,,,,,,,,,,,教育漢字
11,学,がく,1,,,,,,,,,,,教育漢字
12,気,き,1,,,,,,,,,,,教育漢字
13,九,きゅう|く,1,,,,,,,,,,,教育漢字
14,休,やすみ|きゅう,1,,,,,,,,,,,教育漢字
15,玉,たま,1,,,,,,,,,,,教育漢字
16,金,きん|かね,1,,,,,,,,,,,教育漢字
17,空,そら|くう,1,,,,,,,,,,,教育漢字
18,月,つき|げつ|がつ,1,,,,,,,,,,,教育漢字
19,犬,いぬ,1,,,,,,,,,,,教育漢字
20,見,みる|けん,1,,,,,,,,,,,教育漢字
21,五,ご|いつつ,1,,,,,,,,,,,教育漢字
22,口,くち,1,,,,,,,,,,,教育漢字
23,校,こう,1,,,,,,,,,,,教育漢字
24,左,ひだり,1,,,,,,,,,,,教育漢字
25,三,さん|みっつ,1,,,,,,,,,,,教育漢字
26,山,やま|さん,1,,,,,,,,,,,教育漢字
27,子,こ|し,1,,,,,,,,,,,教育漢字
28,四,よん|し|よっつ,1,,,,,,,,,,,教育漢字
29,糸,いと,1,,,,,,,,,,,教育漢字
30,字,じ,1,,,,,,,,,,,教育漢字
31,耳,みみ,1,,,,,,,,,,,教育漢字
32,七,なな|しち,1,,,,,,,,,,,教育漢字
33,車,くるま|しゃ,1,,,,,,,,,,,教育漢字
34,手,て,1,,,,,,,,,,,教育漢字
35,十,じゅう|とお,1,,,,,,,,,,,教育漢字
36,出,でる|しゅつ,1,,,,,,,,,,,教育漢字
37,女,おんな|じょ,1,,,,,,,,,,,教育漢字
38,小,ちいさい|しょう,1,,,,,,,,,,,教育漢字
39,上,うえ|じょう,1,,,,,,,,,,,教育漢字
40,森,もり,1,,,,,,,,,,,教育漢字
41,人,ひと|じん|にん,1,,,,,,,,,,,教育漢字
42,水,みず|すい,1,,,,,,,,,,,教育漢字
43,正,ただしい|せい,1,,,,,,,,,,,教育漢字
44,生,いきる|うまれる|せい,1,,,,,,,,,,,教育漢字
45,青,あお,1,,,,,,,,,,,教育漢字
46,夕,ゆう,1,,,,,,,,,,,教育漢字
47,石,いし|せき,1,,,,,,,,,,,教育漢字
48,赤,あか,1,,,,,,,,,,,教育漢字
49,千,せん,1,,,,,,,,,,,教育漢字
50,川,かわ,1,,,,,,,,,,,教育漢字
51,先,さき|せん,1,,,,,,,,,,,教育漢字
52,早,はやい|そう,1,,,,,,,,,,,教育漢字
53,草,くさ,1,,,,,,,,,,,教育漢字
54,足,あし|そく,1,,,,,,,,,,,教育漢字
55,村,むら,1,,,,,,,,,,,教育漢字
56,大,おおきい|だい,1,,,,,,,,,,,教育漢字
57,男,おとこ|だん,1,,,,,,,,,,,教育漢字
58,竹,たけ,1,,,,,,,,,,,教育漢字
59,中,なか|ちゅう,1,,,,,,,,,,,教育漢字
60,虫,むし,1,,,,,,,,,,,教育漢字
61,町,まち|ちょう,1,,,,,,,,,,,教育漢字
62,天,てん,1,,,,,,,,,,,教育漢字
63,田,た,1,,,,,,,,,,,教育漢字
64,土,つち|ど,1,,,,,,,,,,,教育漢字
65,二,に|ふたつ,1,,,,,,,,,,,教育漢字
66,日,ひ|にち|じつ,1,,,,,,,,,,,教育漢字
67,入,はいる|にゅう,1,,,,,,,,,,,教育漢字
68,年,とし|ねん,1,,,,,,,,,,,教育漢字
69,白,しろ,1,,,,,,,,,,,教育漢字
70,八,はち|やっつ,1,,,,,,,,,,,教育漢字
71,百,ひゃく,1,,,,,,,,,,,教育漢字
72,文,ぶん|もん,1,,,,,,,,,,,教育漢字
73,木,き|もく,1,,,,,,,,,,,教育漢字
74,本,ほん,1,,,,,,,,,,,教育漢字
75,名,な|めい,1,,,,,,,,,,,教育漢字
76,目,め,1,,,,,,,,,,,教育漢字
77,立,たつ,1,,,,,,,,,,,教育漢字
78,力,ちから|りょく,1,,,,,,,,,,,教育漢字
79,林,はやし,1,,,,,,,,,,,教育漢字
80,六,ろく|むっつ,1,,,,,,,,,,,教育漢字
81,一年,いちねん,1,,,,,,,,,,,基本語
82,一年生,いちねんせい,1,,,,,,,,,,,基本語
83,一日,いちにち|ついたち,1,,,,,,,,,,,基本語
84,一月,いちがつ,1,,,,,,,,,,,基本語
85,二月,にがつ,1,,,,,,,,,,,基本語
86,三月,さんがつ,1,,,,,,,,,,,基本語
87,四月,しがつ,1,,,,,,,,,,,基本語
88,五月,ごがつ,1,,,,,,,,,,,基本語
89,六月,ろくがつ,1,,,,,,,,,,,基本語
90,七月,しちがつ,1,,,,,,,,,,,基本語
91,八月,はちがつ,1,,,,,,,,,,,基本語
92,九月,くがつ,1,,,,,,,,,,,基本語
93,十月,じゅうがつ,1,,,,,,,,,,,基本語
94,十一月,じゅういちがつ,1,,,,,,,,,,,基本語
95,十二月,じゅうにがつ,1,,,,,,,,,,,基本語
96,一番,いちばん,1,,,,,,,,,,,基本語
97,二番,にばん,1,,,,,,,,,,,基本語
98,三番,さんばん,1,,,,,,,,,,,基本語
99,四番,よんばん,1,,,,,,,,,,,基本語
100,五番,ごばん,1,,,,,,,,,,,基本語
101,六番,ろくばん,1,,,,,,,,,,,基本語
102,七番,ななばん,1,,,,,,,,,,,基本語
103,八番,はちばん,1,,,,,,,,,,,基本語
104,九番,きゅうばん,1,,,,,,,,,,,基本語
105,十番,じゅうばん,1,,,,,,,,,,,基本語
106,山川,やまかわ,1,,,,,,,,,,,基本語
107,川水,かわみず,1,,,,,,,,,,,基本語
108,火山,かざん,1,,,,,,,,,,,基本語
109,水田,すいでん,1,,,,,,,,,,,基本語
110,木立,こだち,1,,,,,,,,,,,基本語
111,林道,りんどう,1,,,,,,,,,,,基本語
112,森山,もりやま,1,,,,,,,,,,,基本語
113,青空,あおぞら,1,,,,,,,,,,,基本語
114,夕日,ゆうひ,1,,,,,,,,,,,基本語
115,白山,しろやま|はくさん,1,,,,,,,,,,,基本語
116,赤土,あかつち,1,,,,,,,,,,,基本語
117,花火,はなび,1,,,,,,,,,,,基本語
